45.7164	6206	6206	U	0	unclassified
54.2836	7369	180	R	1	root
51.7422	7024	142	R1	131567	  cellular organisms
48.6262	6601	1142	D	2	    Bacteria
33.0829	4491	705	P	1224	      Proteobacteria
20.0000	2715	146	C	28211	        Alphaproteobacteria
17.4586	2370	95	O	356	          Rhizobiales
15.2928	2076	89	F	41294	            Bradyrhizobiaceae
13.7680	1869	301	G	374	              Bradyrhizobium
8.6556	1175	127	G1	2631580	                unclassified Bradyrhizobium
3.1381	426	426	S	2057741	                  Bradyrhizobium sp. SK17
3.0203	410	410	S	1197460	                  Bradyrhizobium sp. 6(2017)
0.2136	29	29	S	288000	                  Bradyrhizobium sp. BTAi1
0.1768	24	24	S	114615	                  Bradyrhizobium sp. ORS 278
0.1621	22	22	S	115808	                  Bradyrhizobium sp. ORS 285
0.1547	21	21	S	858422	                  Bradyrhizobium sp. CCBAU 051011
0.1252	17	17	S	1404888	                  Bradyrhizobium sp. 1(2017)
0.1252	17	17	S	376	                  Bradyrhizobium sp.
0.1179	16	16	S	167468	                  Bradyrhizobium sp. ORS 3257
0.0958	13	13	S	335659	                  Bradyrhizobium sp. S23321
0.0884	12	12	S	1404864	                  Bradyrhizobium sp. 58S1
0.0810	11	11	S	1223566	                  Bradyrhizobium sp. CCGE-LA001
0.0663	9	9	S	319017	                  Bradyrhizobium sp. WSM471
0.0589	8	8	S	2599819	                  Bradyrhizobium sp. TM102
0.0516	7	7	S	1404402	                  Bradyrhizobium sp. 4(2017)
0.0295	4	4	S	2493093	                  Bradyrhizobium sp. LCT2
0.0147	2	2	S	2599805	                  Bradyrhizobium sp. SG09
0.3831	52	52	S	1437360	                Bradyrhizobium erythrophlei
0.2947	40	40	S	722472	                Bradyrhizobium lablabi
0.2652	36	36	S	244734	                Bradyrhizobium betae
0.2652	36	36	S	931866	                Bradyrhizobium ottawaense
0.2431	33	33	S	1274631	                Bradyrhizobium icense
0.2357	32	32	S	190148	                Bradyrhizobium paxllaeri
0.1989	27	27	S	1404367	                Bradyrhizobium symbiodeficiens
0.1694	23	20	S	375	                Bradyrhizobium japonicum
0.0221	3	3	S1	476282	                  Bradyrhizobium japonicum SEMIA 5079
0.1400	19	19	S	1355477	                Bradyrhizobium diazoefficiens
0.1326	18	0	S	44255	                Bradyrhizobium oligotrophicum
0.1326	18	18	S1	1245469	                  Bradyrhizobium oligotrophicum S58
0.1179	16	16	S	1404768	                Bradyrhizobium amphicarpaeae
0.1105	15	15	S	1325095	                Bradyrhizobium guangzhouense
0.0958	13	13	S	1325090	                Bradyrhizobium guangdongense
0.0884	12	12	S	255045	                Bradyrhizobium canariense
0.0884	12	12	S	1325107	                Bradyrhizobium zhanjiangense
0.0663	9	9	S	1325115	                Bradyrhizobium guangxiense
0.3536	48	0	G	1073	              Rhodopseudomonas
0.3536	48	14	S	1076	                Rhodopseudomonas palustris
0.0958	13	13	S1	316056	                  Rhodopseudomonas palustris BisB18
0.0663	9	9	S1	316055	                  Rhodopseudomonas palustris BisA53
0.0516	7	7	S1	316058	                  Rhodopseudomonas palustris HaA2
0.0295	4	4	S1	652103	                  Rhodopseudomonas palustris DX-1
0.0074	1	1	S1	258594	                  Rhodopseudomonas palustris CGA009
0.1105	15	0	G	1395974	              Tardiphaga
0.1105	15	15	G1	2631404	                unclassified Tardiphaga
0.1031	14	0	G	40136	              Oligotropha
0.1031	14	7	S	40137	                Oligotropha carboxidovorans
