"V1"	"V2"	"V3"	"V4"	"Genome"	"ST"	"clusters"
-0.20780869272645	0.0589654703174934	-0.0256035117587402	0.04728823291879	"00-2529-3_2000"	"11"	"1"
-0.203628730534764	0.066667772216177	-0.0275729101956908	0.0421112627437608	"00-2782_2000"	"11"	"1"
-0.207161794823093	0.0517868839050713	-0.0106802590571002	0.0227527148543125	"00-2956-4_2000"	"11"	"1"
-0.221025148484556	0.0391240282944181	-0.0118952497131985	0.0195624152533661	"00-3099-5733_2000"	"11"	"1"
-0.220818911569667	0.0283157552073382	0.00246936365952304	0.00210954228747833	"00-3099-5734_2000"	"11"	"1"
-0.207540344004314	0.0500080054773624	0.0106659964646163	0.0198777675627035	"00-4216_2000"	"11"	"1"
-0.195824825609976	0.0323048098362103	-0.00990870874131465	-0.00507117601591381	"01-3016-5171_2001"	"11"	"1"
0.130919695555622	-0.00620761351142232	-0.07403989707584	-0.025539841251441	"02-5863-1_Unknown"	"8"	"2"
0.141144344408297	-0.000159866691314487	-0.0891373447424112	-0.00390773938380094	"02-7258_Unknown"	"8"	"2"
0.222121429993228	0.23944722978575	0.000171900620531209	-0.00398826222871637	"1-VerB_2013"	"8"	"3"
0.16048320519734	0.00323970919490219	-0.0599446635137268	0.0101868049290493	"11-1823-3434_Unknown"	"8"	"2"
0.124649717165472	-0.181034682594041	0.0974622765059555	-0.0933859393484242	"128_1986"	"8"	"4"
0.134606152998125	-0.179101279723598	0.103060081039875	-0.113855696501177	"133_1998"	"8"	"4"
0.143912956002382	0.139162030352151	0.299231583268335	0.00330326667732963	"16M-VerB_Unknown"	"7"	"3"
0.192461903331467	0.274859416526438	0.113944553479697	0.00922608665119416	"16M-VerC_Unknown"	"7"	"3"
0.228453650511906	0.223666915880423	0.0300339202887454	-0.0141116799441289	"1_2011"	"8"	"3"
0.133551298431691	-0.121353781229409	0.111718079686215	0.0695013937942391	"2007BM-1_2007"	"8"	"5"
-0.162158279956408	0.0896498643530733	-0.0947099559467091	0.0739432335250484	"2008724259_2007"	"11"	"1"
0.146736982546537	-0.0228355221523841	-0.111564256257232	0.011958245474328	"2010724553_2010"	"8"	"2"
-0.198851234525397	-0.0122968375470957	-0.0123266200511546	-0.0135960031416798	"2011TE116411_2011"	"43"	"1"
-0.231701052815696	-0.00607999953221656	0.0129844797201387	0.018469918845531	"2011TE116911_2011"	"43"	"1"
-0.213657904228938	-0.0123374757733248	0.00285619594849523	0.0255847891123411	"2011TE117111_2011"	"43"	"1"
-0.203574213839412	-0.00184523986696576	0.000704287828668812	-0.025657284224362	"2011TE1178211_2011"	"11"	"1"
-0.182395348329333	0.0670266801311837	-0.086640389880348	0.019610545853682	"2011TE1178911_2011"	"11"	"1"
-0.237308720318403	-0.0203966136222819	0.0110500897249124	-0.00500429824712997	"2011TE1179111_2011"	"11"	"1"
-0.254549146535327	-0.00352887004666128	-0.00316056997535921	-0.0257990881648704	"2011TE1179311_2011"	"11"	"1"
-0.246022868502306	0.00221345563060886	-0.00944148769347566	-0.0220551524233492	"2011TE1179811_2011"	"11"	"1"
-0.224087393574164	0.0124309787671294	0.00890644574315898	-0.0406771856118139	"2011TE1180211_2011"	"11"	"1"
