group_428	51.63
group_3291	54.80
group_136	52.83
ygaZ	51.85
group_430	60.21
queA	58.24
group_1677	59.57
group_2048	56.01
coaD	55.76
group_2653	52.67
group_431	52.53
gyrA	58.87
group_3143	56.83
phnN	56.02
phnF	54.86
group_3255	54.50
group_3393	57.53
group_3242	57.31
group_1615	48.72
group_2628	59.55
group_2536	59.04
group_1532	56.71
group_1963	57.07
group_138	54.68
group_432	58.09
group_2469	56.26
group_1818	55.57
group_1861	57.92
murA	61.09
group_2648	55.10
hisD	61.64
group_433	59.01
group_434	58.65
infA	52.05
group_436	61.08
yacG	59.72
btpA	46.86
group_439	55.38
group_440	52.17
group_441	52.38
group_33	56.90
group_140	55.56
group_442	51.89
group_443	54.39
group_444	53.66
group_445	36.69
group_446	40.33
group_447	48.45
group_448	47.06
group_449	58.55
group_450	55.56
group_141	48.05
group_451	52.94
group_452	48.63
group_453	56.84
group_142	55.82
group_454	50.85
group_455	53.59
group_456	50.30
group_143	50.34
group_457	55.10
group_458	59.75
group_459	53.33
group_460	52.38
group_461	55.25
group_462	45.64
group_463	54.63
group_464	48.01
group_465	58.61
group_2499	59.22
group_2776	61.50
group_1991	51.52
group_1285	60.46
group_1755	51.01
group_2199	59.87
ugpC_1	60.26
group_1938	59.70
group_17	58.95
group_3349	57.73
group_144	60.38
group_2307	59.95
group_1689	62.16
group_34	57.48
group_3300	60.51
group_2849	63.02
group_1777	58.82
group_2736	59.57
group_1416	60.98
group_466	49.67
group_145	43.75
group_2959	56.45
group_1627	62.29
group_146	63.58
group_147	61.04
hmrR	58.67
group_7	62.15
group_3359	57.77
thiD	62.67
thiO	63.58
thiS	59.09
group_1862	62.52
group_3441	61.11
group_2930	57.38
tenA	58.94
group_1922	64.47
group_1490	57.45
group_35	59.21
atm1	61.46
group_2256	61.67
group_1772	59.82
group_148	60.54
group_2811	58.94
group_1456	57.91
group_2033	64.71
glpD	60.21
group_2097	58.21
group_1381	57.32
group_3283	56.56
cysQ	61.23
cysN	58.19
cysD	55.12
group_1780	59.52
group_3294	51.41
metH	59.24
group_3230	61.28
group_1854	56.91
group_2088	59.24
group_1358	53.06
group_2336	59.24
group_1699	63.37
group_1602	57.63
group_1523	62.71
cobA_2	63.58
group_1488	61.42
rsmI	62.28
group_149	60.41
rdgB	59.43
group_2049	57.21
group_2481	58.62
rph	62.62
hrcA	58.93
grpE	59.45
group_2416	60.12
group_1623	59.92
group_2434	58.40
nth	60.51
group_3102	59.04
group_1521	56.26
group_3531	58.54
ptsN	58.49
raiA	58.75
rpoN	57.68
lptB	60.16
group_1680	60.83
lptC	55.88
sppA	60.37
group_2292	55.88
group_1887	58.95
group_1195	61.59
group_1347	60.67
group_1885	60.29
group_150	52.61
group_3184	58.39
mutS	60.34
tme	61.38
group_2627	61.63
group_2787	58.57
murJ	59.87
trpS	59.55
group_3516	60.93
group_1278	59.69
group_2921	57.33
group_2390	63.43
regA	60.46
group_1525	59.68
group_3492	60.17
galU	57.05
group_1633	59.40
group_2552	56.62
group_1429	56.29
group_2112	55.27
group_1469	55.61
virB5	56.07
group_1335	55.46
group_1583	58.05
group_2562	55.69
virB9	57.59
virB10	58.53
virB11	58.66
group_3250	57.61
group_3202	58.85
group_151	53.06
group_152	60.48
gltB	60.37
group_3144	59.81
group_2369	56.05
group_1471	62.16
group_3356	61.23
