group_1803	WP_004684678_1	100.000	214	0	0	46	687	16	229	5.91e-135	383	N/A
group_1803	WP_011982367_1	79.381	194	35	1	46	612	16	209	9.55e-98	295	N/A
group_1803	WP_100001422_1	80.315	127	25	0	220	600	61	187	8.32e-67	215	N/A
group_1803	WP_067954881_1	73.684	133	35	0	202	600	63	195	1.01e-64	209	N/A
group_1803	WP_044548321_1	76.190	126	30	0	223	600	61	186	2.78e-63	206	N/A
group_1803	WP_113153942_1	76.984	126	29	0	223	600	43	168	4.97e-63	204	N/A
group_1803	WP_085953101_1	72.308	130	36	0	220	609	39	168	1.22e-62	203	N/A
group_1803	WP_034797624_1	64.748	139	45	1	202	618	73	207	4.18e-54	183	N/A
group_1803	NP_384495_1	64.029	139	46	1	202	618	73	207	4.42e-53	180	N/A
group_1803	WP_084437673_1	65.414	133	41	2	220	618	73	200	7.73e-53	179	N/A
group_1803	WP_038592713_1	61.654	133	51	0	202	600	58	190	2.16e-52	178	N/A
group_1803	NP_353371_1	61.654	133	47	1	220	618	4	132	2.17e-52	176	N/A
group_1803	WP_011650204_1	62.992	127	47	0	220	600	60	186	5.09e-51	174	N/A
group_1803	WP_018065551_1	60.741	135	52	1	223	627	59	192	2.79e-49	170	N/A
group_1803	WP_082639574_1	63.780	127	45	1	220	600	21	146	2.54e-48	166	N/A
group_1803	WP_082675864_1	56.911	123	52	1	232	600	38	159	9.00e-37	136	N/A
group_1803	WP_049792687_1	55.039	129	57	1	223	609	11	138	2.04e-35	132	N/A
group_1803	WP_077290895_1	55.172	116	51	1	247	594	22	136	5.40e-34	129	N/A
group_1803	WP_099559123_1	52.344	128	57	3	223	600	18	143	7.83e-33	120	N/A
group_1803	WP_099559123_1	83.333	24	4	0	618	689	147	170	7.83e-33	43.5	N/A
group_1803	WP_012522450_1	55.172	116	49	3	247	594	48	160	1.33e-32	125	N/A
group_1803	WP_012522450_1	61.111	36	14	0	582	689	160	195	1.33e-32	38.5	N/A
group_1803	WP_013480438_1	50.435	115	55	2	247	591	8	120	1.43e-31	122	N/A
group_1803	WP_117414385_1	56.881	109	46	1	253	579	1	108	3.46e-31	120	N/A
group_1803	WP_117414385_1	79.167	24	5	0	618	689	124	147	3.46e-31	38.5	N/A
group_1803	WP_014744626_1	50.000	128	63	1	232	612	11	138	7.03e-31	120	N/A
group_1803	WP_126540692_1	47.183	142	61	2	211	597	51	191	1.04e-30	112	N/A
group_1803	WP_126540692_1	65.625	32	11	0	594	689	188	219	1.04e-30	45.1	N/A
group_1803	ABX06481_1	42.982	114	61	1	253	594	6	115	2.81e-25	98.6	N/A
group_1803	ABX06481_1	82.609	23	4	0	621	689	122	144	2.81e-25	40.4	N/A
group_1803	WP_085953523_1	49.057	106	53	1	277	594	21	125	5.91e-25	105	N/A
group_1803	WP_015827592_1	43.103	116	64	2	253	600	17	130	7.11e-25	97.8	N/A
group_1803	WP_015827592_1	79.167	24	5	0	618	689	134	157	7.11e-25	39.7	N/A
group_1803	WP_041383834_1	46.218	119	63	1	244	597	1	119	1.07e-24	103	N/A
group_1803	WP_007688563_1	48.246	114	56	2	256	597	6	116	1.20e-24	103	N/A
group_1803	WP_066845468_1	47.414	116	58	2	244	591	7	119	4.94e-24	102	N/A
group_1803	WP_128465870_1	43.860	114	59	2	265	606	2	110	5.96e-24	98.2	N/A
group_1803	WP_128465870_1	60.714	28	11	0	606	689	108	135	5.96e-24	36.2	N/A
group_1803	WP_069708866_1	46.957	115	58	2	247	591	8	119	1.15e-23	101	N/A
group_1803	WP_121047118_1	44.248	113	57	4	256	591	6	113	1.80e-23	97.1	N/A
group_1803	WP_121047118_1	78.261	23	5	0	621	689	118	140	1.80e-23	35.8	N/A
group_1803	WP_011647846_1	45.299	117	62	2	253	600	9	124	3.42e-23	100	N/A
group_1803	WP_046903160_1	45.133	113	59	2	247	585	8	117	5.06e-23	100	N/A
group_1803	WP_010238365_1	47.368	114	54	4	247	585	8	116	1.61e-22	98.2	N/A
group_1803	WP_013269931_1	46.154	117	60	3	247	594	9	123	5.09e-22	97.1	N/A
group_1803	WP_106055517_1	50.000	100	47	2	280	579	3	99	6.02e-22	96.3	N/A
group_1803	WP_106055517_1	51.852	27	13	0	609	689	107	133	6.02e-22	31.2	N/A
group_1803	WP_012817611_1	45.455	110	57	2	250	579	7	113	9.95e-22	95.9	N/A
group_1803	WP_012817611_1	53.846	26	12	0	612	689	119	144	9.95e-22	31.2	N/A
group_1803	WP_066966532_1	44.545	110	58	1	250	579	4	110	1.70e-21	95.1	N/A
group_1803	WP_066966532_1	60.870	23	9	0	621	689	119	141	1.70e-21	31.2	N/A
group_1803	WP_013560037_1	38.333	120	72	2	247	606	16	133	2.35e-21	90.9	N/A
group_1803	WP_013560037_1	66.667	24	8	0	618	689	135	158	2.35e-21	34.7	N/A
group_1803	WP_015810722_1	40.000	115	63	3	250	579	2	115	5.68e-21	90.5	N/A
group_1803	WP_015810722_1	68.182	22	7	0	624	689	129	150	5.68e-21	33.9	N/A
group_1803	WP_013948801_1	31.298	131	67	2	253	579	9	138	5.81e-21	80.1	N/A
group_1803	WP_013948801_1	75.000	28	7	0	606	689	146	173	5.81e-21	44.3	N/A
