2	NODE_344_length_1176_cov_19.188317	CP008750.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP016983.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP016985.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018478.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018480.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018482.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018484.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018486.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018488.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018490.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018492.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018494.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018496.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018498.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018500.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018502.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018504.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018506.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018508.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018510.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018512.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018514.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018516.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018518.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018520.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018522.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018524.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018526.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018528.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018530.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018532.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018534.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018536.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018538.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018540.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018542.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018544.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018546.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018548.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018550.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018552.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018554.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018556.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018558.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018560.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018562.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018564.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018566.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018568.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP018570.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP019679.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP022204.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP022827.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP022875.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP024653.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP024715.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP025680.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP025819.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP025821.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP026005.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP026337.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP029756.1	Brucella melitensis
2	NODE_344_length_1176_cov_19.188317	CP034103.1	Brucella melitensis
